title,link,snippet,displayLink
Real-world gen AI use cases from the world's leading organizations ...,https://cloud.google.com/transform/101-real-world-generative-ai-use-cases-from-industry-leaders,"Apr 9, 2025 ... ... code review efficiency. L'Oreal developed an AI agent using LangChain and Cloud Run to provide text-to-text and text-to-image generation capabilities. This AI ...",cloud.google.com
AI-in-Health/MedLLMsPracticalGuide: [Nature Reviews ... - GitHub,https://github.com/AI-in-Health/MedLLMsPracticalGuide,"Apr 8, 2025 ... Code Review. Manage code changes · Discussions. Collaborate outside of code · Code ... [Arxiv, 2024] Medical Graph RAG: Towards Safe Medical Large Language Model ...",github.com
Utilizing Generative AI and LLMs to Automate Detection Writing | by ...,https://medium.com/@dylanhwilliams/utilizing-generative-ai-and-llms-to-automate-detection-writing-5e4ea074072e,"May 10, 2024 ... Retrieval Augmented Generation (RAG) is a way to give these models access ... Creating a code review agent to iterate and make the code shine. Mar 13. AI ...",medium.com
codefuse-ai/Awesome-Code-LLM: [TMLR] A curated list of ... - GitHub,https://github.com/codefuse-ai/Awesome-Code-LLM,"5 days ago ... ... Code Review Comment Generation"" [2024-12] [paper]. ""Distilling Desired Comments for Enhanced Code Review with Large Language Models"" [2024-12] [paper]. ""Deep ...",github.com
Generative AI: A systematic review using topic modelling techniques ...,https://www.sciencedirect.com/science/article/pii/S2543925124000020,"Jun 15, 2024 ... ... code review and bug fixing or, among other functionalities (Hsu & Ching ... Topic modelling is a widely employed technique in the fields of natural language ...",www.sciencedirect.com
Determinants of Generative Artificial Intelligence Large Language ...,https://scholarworks.gsu.edu/cgi/viewcontent.cgi?article=1221&context=bus_admin_diss,"Jul 24, 2024 ... ... Large. Language Model (LLM). ... Automatically generate or complete data tables while providing contextual information;. AI-driven code review, refactoring ...",scholarworks.gsu.edu
Bringing developer choice to Copilot with Anthropic's Claude 3.5 ...,https://github.blog/news-insights/product-news/bringing-developer-choice-to-copilot/,"Oct 29, 2024 ... From Copilot Workspace to multi-file editing to code review, security autofix, and the CLI, we will bring multi-model choice across many of GitHub Copilot's ...",github.blog
Accepted Papers - NAACL-HLT 2025,https://2025.naacl.org/program/accepted_papers/,"Mar 8, 2025 ... ... Language Model Pipelines Reya Vir, Shreya Shankar, Harrison Chase, William Hinthorn, Aditya Parameswaran. CRScore: Grounding Automated Evaluation of Code Review ...",2025.naacl.org
GitHub Copilot: The agent awakens - The GitHub Blog,https://github.blog/news-insights/product-news/github-copilot-the-agent-awakens/,"Feb 6, 2025 ... The name reflects our belief that artificial intelligence (AI) isn't replacing the developer. ... code review agent. Thomas Dohmke · Mastering GitHub Copilot: ...",github.blog
From LLMs to LLM-based Agents for Software Engineering: A ...,https://arxiv.org/html/2408.02479v1/,"Aug 5, 2024 ... There is an inherent connection between large language models and natural language processing (NLP) ... However, its performance on tasks such as code review and ...",arxiv.org
