title,link,snippet,displayLink
Vol. 39 No. 22: AAAI-25 Technical Tracks 22 | Proceedings of the ...,https://ojs.aaai.org/index.php/AAAI/issue/view/645,"Apr 11, 2025 ... Enhancing Multi-Hop Fact Verification with Structured Knowledge-Augmented Large Language Models. Han Cao, Lingwei Wei, Wei Zhou, Songlin Hu. 23514-23522. PDF ...",ojs.aaai.org
Retrieval-augmented generation for generative artificial intelligence ...,https://www.nature.com/articles/s44401-024-00004-1,"Jan 25, 2025 ... ... LLM-generated content is often factually inconsistent and lacks evidence for verification. ... Multi-Agent Conversations Using Large Language Models ...",www.nature.com
White Papers | Dell Technologies Info Hub,https://infohub.delltechnologies.com/t/white-papers-106/,"May 15, 2024 ... ... AI model development and verification for SAE levels L2 to L5 autonomous vehicle programs targeted to automotive companies. AI; PowerEdge; PowerScale; training ...",infohub.delltechnologies.com
AAAI-25 Workshop List - AAAI,https://aaai.org/conference/aaai/aaai-25/workshop-list/,"Nov 22, 2024 ... ... intelligence and automated verification. The National AI Research Resource ... W42: Large Language Model and Generative AI for Health. The rapid ...",aaai.org
Journal of Artificial Intelligence Research,https://www.jair.org/,"Jan 6, 2025 ... A Framework for Belief-based Programs and Their Verification. Daxin Liu ... Enhanced Recommendation Systems with Retrieval-Augmented Large Language Model.",www.jair.org
ICLR 2025 Schedule,https://iclr.cc/virtual/2025/calendar,"Apr 24, 2025 ... On the self-verification limitations of large language models on reasoning and planning tasks ... VisRAG: Vision-based Retrieval-augmented Generation on Multi ...",iclr.cc
Artificial Intelligence Risk Management Framework: Generative ...,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,"Jul 25, 2024 ... conformity assessment, and model integrity verification, which can help support ... Re-assess model risks after fine-tuning or retrieval-augmented generation.",nvlpubs.nist.gov
NeurIPS 2024 Schedule,https://neurips.cc/virtual/2024/calendar,"Aug 14, 2024 ... AI Verification & Validation: Trends, Applications, and Challenges. (ends 9 ... Large Language Model and 3D Generative AI. [11:00] E(*)star, navigating ...",neurips.cc
Real-world gen AI use cases from the world's leading organizations ...,https://cloud.google.com/transform/101-real-world-generative-ai-use-cases-from-industry-leaders,"Apr 9, 2025 ... ... verification process when residents apply for coverage. Cradle, a biotech startup, is using Google Cloud's generative AI technology to design proteins for ...",cloud.google.com
AI agent innovates: Pushing the boundaries of Generative Tech,https://global.fujitsu/-/media/Project/Fujitsu/Fujitsu-HQ/technology/key-technologies/news/ta-ai-agent-innovation-20250328/ta-ai-agent-innovation-20250328-en.pdf?rev=297180d8c5fc406281ea3171a8a19e0b&hash=FB7F836C753E12B92DCA076E1F007F6C,"Mar 28, 2025 ... Other agents handle document collection, financial analysis, check and correction of data, and after verification by the RM and credit analysts, the final ...",global.fujitsu
