title,link,snippet,displayLink
iSEngLab/AwesomeLLM4SE: A Survey on Large ... - GitHub,https://github.com/iSEngLab/AwesomeLLM4SE,"Dec 31, 2023 ... ... Multiple Large Language Model Agents[2024-arXiv]; AutoComply ... Towards Automatically Addressing Self-Admitted Technical Debt: How Far Are We?",github.com
Xuchen-Li/llm-arxiv-daily: Automatically update arXiv ... - GitHub,https://github.com/Xuchen-Li/llm-arxiv-daily,"Dec 23, 2024 ... TD-Suite: All Batteries Included Framework for Technical Debt Classification, Karthik Shivashankar et.al. 2504.11085 · link. 2025-04-15, QAMA: Quantum annealing ...",github.com
Xnhyacinth/Awesome-LLM-Long-Context-Modeling: Must ... - GitHub,https://github.com/Xnhyacinth/Awesome-LLM-Long-Context-Modeling,"Apr 29, 2025 ... Contextual Compression in Retrieval-Augmented Generation for Large Language ... Technical Debt in In-Context Learning: Diminishing Efficiency in Long Context.",github.com
monologg/nlp-arxiv-daily: Automatically Update NLP ... - GitHub,https://github.com/monologg/nlp-arxiv-daily,"Mar 6, 2024 ... The Dual-Edged Sword of Technical Debt: Benefits and Issues Analyzed Through Developer Discussions ... Beyond Generative Artificial Intelligence: Roadmap for ...",github.com
awesome_ai_agents/README.md at main · jim-schwoebel ...,https://github.com/jim-schwoebel/awesome_ai_agents/blob/main/README.md,"Jan 1, 2025 ... ... technical debt, code reviews, and migrations, while customizing to project ... large language models (LLMs) with retrieval-augmented generation (RAG…",github.com
slavakurilyak/awesome-ai-agents: Awesome list of 300+ ... - GitHub,https://github.com/slavakurilyak/awesome-ai-agents,"Apr 16, 2024 ... ... technical debt, code reviews, and migrations, while customizing to project ... XAgent is an open-source, experimental Large Language Model-driven autonomous agent ...",github.com
elicit/machine-learning-list: A curriculum for learning about ... - GitHub,https://github.com/elicit/machine-learning-list,"Apr 11, 2024 ... REALM: Retrieval-Augmented Language Model Pre-Training · Retrieval-Augmented ... Machine Learning: The High Interest Credit Card of Technical Debt. Tier 2.",github.com
AlexChalakov/awesome-generative-ai-companies: A ... - GitHub,https://github.com/AlexChalakov/awesome-generative-ai-companies,"Mar 30, 2023 ... $16 - 40MM. Codacy - An automated code review tool that helps developers save time in code reviews and manage technical debt.",github.com
jiangyanjie/Deep-Learning-Based-Software-Engineering - GitHub,https://github.com/jiangyanjie/deepLearningBasedSoftwareEngineeringPaper,"Sep 27, 2024 ... Retrieval-augmented generation for code summarization via hybrid GNN (ICLR, 2021) ... Technical Debt. Large language model ChatGPT versus small deep learning ...",github.com
Explore GitHub · GitHub,https://github.com/explore?imz_s=8cqk9egp2bgri0qd2rhs4v6760,"Aug 16, 2024 ... Codeac is an Automated Code Review Tool that monitors your technical debt. It helps you improve your code quality and teaches best practices to your ...",github.com
fabiochiusano/Awesome-AI-News: AI news organized with ... - GitHub,https://github.com/fabiochiusano/Awesome-AI-News,"Nov 25, 2024 ... Databricks has unveiled DBRX, a new open-source large language model (LLM) ... However, maintaining high-quality output and avoiding technical debt requires ...",github.com
www-project-ai-security-and-privacy-guide/content/ai_exchange ...,https://github.com/OWASP/www-project-ai-security-and-privacy-guide/blob/main/content/ai_exchange/content/docs/ai_security_overview.md,"Apr 23, 2024 ... Note that an AI system can for example be a Large Language Model, a ... Manage your technical debt: Part of #DEVELOPMENT PROGRAM. Secure deployment.",github.com
For future reference but maybe not. · GitHub,https://gist.github.com/tkersey/e4d9923922d80c065f9d,"Jan 19, 2025 ... ... language (e.g. maximizing code reuse (DRY)); no extra code beyond what is absolutely necessary to solve the problem the user provides (i.e. no technical debt).",gist.github.com
awesome-quincy-larson-emails/README.md at main ...,https://github.com/sourabh-joshi/awesome-quincy-larson-emails/blob/main/README.md,"Jan 25, 2025 ... A quick note on GPT-4 and other Large Language Model (LLM) tools: I'm ... technical debt? Colby explains this agile software development concept, and ...",github.com
tech-andgar/awesome-stars: A curated list of my GitHub ... - GitHub,https://github.com/tech-andgar/awesome-stars,"May 1, 2022 ... ... AI agents, No-code agent builder, MCP compatibility, and more. ... technical debt. SalesforceLabs, 139. 254, semantic-release, Fully automated ...",github.com
